Cycle_ID,PS1_mean,PS1_std,PS1_min,PS1_max,PS1_slope,PS1_kurtosis,PS2_min,PS2_max,PS2_median,PS3_mean,PS3_std,PS3_min,PS3_max,PS3_slope,PS3_kurtosis,PS4_mean,PS4_std,PS4_max,PS4_range,PS4_slope,PS4_skew,PS4_kurtosis,PS5_std,PS5_range,PS5_slope,PS5_skew,PS5_kurtosis,PS6_std,PS6_range,PS6_slope,PS6_skew,PS6_kurtosis,EPS1_mean,EPS1_range,FS1_std,FS1_min,FS1_max,FS1_slope,FS1_kurtosis,FS2_std,FS2_range,FS2_slope,FS2_skew,FS2_kurtosis,TS1_std,TS1_range,TS1_slope,TS1_skew,TS1_kurtosis,TS2_std,TS2_range,TS2_slope,TS2_skew,TS2_kurtosis,TS3_std,TS3_range,TS3_slope,TS3_skew,TS3_kurtosis,TS4_std,TS4_slope,TS4_skew,TS4_kurtosis,VS1_mean,VS1_std,VS1_min,VS1_max,VS1_median,VS1_slope,VS1_skew,VS1_kurtosis,SE_min,SE_max,CE_std,CE_slope,CE_skew,CE_kurtosis,CP_std,CP_range,CP_slope,CP_skew,CP_kurtosis,Cooler_Condition,Valve_Condition,Pump_Leakage,Accumulator_Pressure,Stable_Flag,Cooler_Condition_enc,Valve_Condition_enc,Pump_Leakage_enc,Accumulator_Pressure_enc,Stable_Flag_enc
1,160.67349166666625,13.938146895896809,145.83,191.51,-4.6666666666666855e-05,0.4955659907722656,0.0,156.99,129.365,1.9914753333333264,0.9456260217751014,0.0,10.039,-1.5666666666666718e-05,6.522165523884141,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0881466076285223,0.3350000000000008,-3.5666666666666736e-05,-0.0011777184011176,-1.2682276408160258,0.0853590572840207,0.3190000000000008,-3.383333333333323e-05,-0.0666427697741744,-1.2850506328638558,2538.929166666707,611.7999999999997,3.012913997131074,0.0,18.71,-0.00159,1.6617361437447844,0.0916950103907271,0.298,0.0003233333333333,-0.316691359255077,-1.3912515019957068,0.3056504807601146,0.9960000000000022,0.0097,0.0370379489879271,-1.334002748683215,0.1530104970981479,0.4769999999999967,0.0048166666666666,0.1349594136215437,-1.426221361670578,0.083950479781569,0.296999999999997,0.0045666666666666,-0.7086753156287966,-0.7087088525849965,1.1071352917176234,0.0532,0.2477064695710154,-1.3911135879261485,0.5769500000000001,0.0268517069600177,0.532,0.624,0.577,-0.0010166666666666,-0.0449781513323333,-1.27510141610896,0.0,79.568,6.317224210640305,-0.3056,-0.2670154253619997,-1.4196853704428434,0.2770471455065605,0.8050000000000002,-0.01335,-0.345512811808207,-1.4064974006420234,3,100,0,130,1,0,3,0,3,1
2,160.60332000000074,14.11779086038622,145.73,191.47,-4.1666666666666665e-05,0.4601738221684179,0.0,157.56,129.385,1.9762343333333217,0.9418885256518036,0.0,9.992,-1.033333333333338e-05,6.949744564527817,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0383886044980217,0.1879999999999988,-1.2833333333333326e-05,0.2897723120791738,-0.5640135401856732,0.0363130396961229,0.1829999999999998,-1.2500000000000178e-05,0.2362802537568366,-0.515115666299113,2531.498900000043,615.4000000000001,3.0037418829034426,0.0,18.712,-0.001715,1.6379207028159195,0.0191458959193754,0.100999999999999,-2.8333333333332438e-05,-0.0005085889520223,-0.373764975930527,0.580838502129082,1.8399999999999963,0.0220166666666666,-0.2912934125916888,-1.3494155465166615,0.3354040034876681,1.073999999999998,0.0141166666666665,0.1152462347136323,-1.4338601508139703,0.1754400150732124,0.5859999999999985,0.0095,-0.0679284063917017,-0.9589454816092182,0.4316696447773714,0.0245499999999999,-0.3052912171924655,-1.0659709204870775,0.5658500000000001,0.0270128518795529,0.524,0.626,0.5595000000000001,-0.0009333333333333,0.7707890474851408,-0.2388389509041624,0.0,80.441,1.6720192320132632,-0.0936666666666666,0.401014542622249,-1.0974937276448642,0.0739807238407411,0.2669999999999999,-0.0041666666666666,0.4022521809287785,-1.1495073848108572,3,100,0,130,1,0,3,0,3,1
3,160.34771999999944,14.1914357766083,145.37,191.41,-3.166666666666629e-05,0.4641342718382697,0.0,156.97,129.325,1.9722239999999964,0.9434222065565052,0.0,10.914,6.500000000000024e-06,8.213201626427663,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0358136665530386,0.1850000000000005,-1.4166666666666514e-05,0.1868892662877156,-0.4932979000052317,0.0360279874815709,0.1879999999999988,-1.366666666666679e-05,0.1855002451615509,-0.5070923254117345,2519.928000000028,621.2000000000003,3.011735378957439,0.0,18.698,-0.002045,1.6245734570267416,0.0263392134785127,0.1470000000000002,-5.999999999999931e-05,0.0738709160475498,-0.426369569010661,0.5544897594485703,1.7420000000000044,0.0188833333333333,-0.4524824306294069,-1.236851251504247,0.3873196537314713,1.2070000000000007,0.0150999999999999,-0.0421752996938418,-1.4362955264748196,0.2490316864042267,0.8279999999999959,0.0134833333333332,0.0296088136431646,-0.9068996807772196,0.2914298557686449,0.0168,-0.0945717886920333,-1.05855451659699,0.5765333333333332,0.0364218188575047,0.529,0.662,0.562,-0.0007333333333333,0.9341033090653756,-0.0423514664206741,0.0,80.824,0.6330032218629612,-0.0339166666666666,0.304238983791643,-1.1037118840249325,0.0230688040917213,0.0829999999999999,-0.0009333333333333,0.2456556422743971,-0.8778932197643656,3,100,0,130,1,0,3,0,3,1
4,160.1880883333334,14.226617261160076,145.14,191.34,-3.333333333333144e-05,0.470639549267696,0.0,156.44,128.865,1.9465754999999827,0.9354562410751202,0.0,10.297,-7.833333333333284e-06,7.88334923612315,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0370654909885489,0.1720000000000006,-1.800000000000009e-05,0.1624563536464662,-0.6584300860555725,0.0373717856555357,0.1739999999999995,-1.6166666666666886e-05,0.1601937031250564,-0.6688051515186397,2511.541633333386,618.7999999999997,3.0176576958144734,0.0,18.896,-0.0021016666666666,1.6557174683199865,0.0267273554725407,0.141,-0.0001133333333333,0.269415718612918,-0.3317408816353877,0.5118562110918783,1.5859999999999983,0.0137999999999999,-0.5435544390306413,-1.115967940076387,0.3951411769510011,1.1829999999999998,0.0158166666666666,0.0127649096511789,-1.5067878123066094,0.2830451725824377,0.9109999999999944,0.0139333333333333,0.4418267869471246,-0.911407888489304,0.2602009138253664,0.0142499999999999,-0.1902520075851022,-1.1703696686290683,0.5692666666666667,0.0331837644371795,0.527,0.645,0.555,-0.0003833333333333,1.0077751678544495,-0.1655548732505591,0.0,80.93,0.451941127864632,-0.01895,0.1838347238496404,-0.2515272706819962,0.024415039763774,0.0849999999999999,-0.0001666666666666,-0.0272574509894246,-1.0365500068397868,3,100,0,130,1,0,3,0,3,1
5,160.0004716666663,14.275244294262013,144.95,191.41,-3.666666666666648e-05,0.481844170427717,0.0,158.13,129.0,1.922706999999984,0.9302579501502176,0.0,11.102,7.833333333333359e-06,9.731260115700648,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.029776607530073,0.1530000000000004,-1.2499999999999882e-05,0.2442470998674225,-0.4748977466193635,0.0285900645674719,0.1470000000000002,-1.399999999999994e-05,0.2052027544998885,-0.4590021319721087,2503.4495000000343,622.0,3.0090395815382505,0.0,18.876,-0.0015066666666666,1.6194433623666995,0.0291461403962856,0.1329999999999991,-0.0001,0.2757498539794293,-0.7502311138109481,0.5308934699060522,1.6019999999999968,0.0154999999999999,-0.5128692439167497,-1.194279307429661,0.369649456692869,1.1450000000000031,0.014,-0.0215888665804545,-1.4325053950656044,0.2911225071454744,0.9179999999999992,0.0137333333333334,-0.0832347728035111,-1.1573802528297603,0.2375657593172885,0.0127,-0.1813940825360544,-1.1635019690501116,0.5773666666666666,0.0332033967472539,0.524,0.66,0.576,-0.0005499999999999,0.7959138566584733,0.0279451332891991,0.0,81.1,0.287728314657344,-0.0074,-0.0255795078322806,-0.0739370542903223,0.0212974698549433,0.09,0.0003333333333333,-0.4820679066315119,-0.3572089523952431,3,100,0,130,1,0,3,0,3,1
6,159.9202100000004,14.274880960013862,144.71,191.28,-4.833333333333674e-05,0.4919919065343032,0.0,156.55,128.93,1.91328449999999,0.932525233202694,0.0,11.453,-6.500000000000024e-06,10.314390294017189,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0310682502439747,0.1479999999999997,-1.2833333333333326e-05,0.0926798728958742,-0.6378101186339031,0.0302238626088723,0.1460000000000008,-1.2333333333333307e-05,0.1013290840118625,-0.6320295597970538,2501.007066666737,623.5999999999999,3.002352384845737,0.0,18.96,-0.0018683333333333,1.6527066038004443,0.0224284402786581,0.1300000000000007,-8.999999999999748e-05,0.4294422269296233,0.0384740353392976,0.5062072508699708,1.593999999999994,0.0138166666666665,-0.5644498336840427,-1.0692733714198257,0.3668736427194273,1.0820000000000007,0.0133499999999999,-0.0728371922429755,-1.439938200692159,0.2641018800681953,0.8629999999999995,0.0141166666666666,0.0600038454222349,-1.0422992520414511,0.211212599582085,0.0120499999999999,-0.1537836323410966,-1.0714695275194148,0.5726833333333334,0.0304743015597659,0.525,0.643,0.5665,-0.0002333333333333,0.5309028391653096,-0.8954349862397271,0.0,80.946,0.2749653003360403,-0.0045666666666666,-0.3847054218654588,-0.3549782228808316,0.0209549450541446,0.0849999999999999,0.0004333333333333,-0.3134041597461766,-0.3288695741676015,3,100,0,130,1,0,3,0,3,1
7,159.67267499999937,14.369921002834593,144.49,191.19,-1.999999999999602e-05,0.4843124283973745,0.0,155.04,128.675,1.8880996666666647,0.915723298491395,0.0,10.312,-7.833333333333359e-06,8.19331041565738,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0255131492235971,0.1319999999999996,-1.6166666666666588e-05,0.1199813342739191,-0.5737520933706204,0.025539453008477,0.1330000000000009,-1.800000000000009e-05,0.0752451499509422,-0.5861165523393197,2494.416900000077,631.5999999999999,3.0100042211413744,0.0,19.208,-0.00262,1.7009996252207715,0.0175919650219449,0.1089999999999999,-1.1666666666666122e-05,0.1994740105954778,0.0587800208021409,0.5062107916229716,1.522999999999996,0.0139833333333333,-0.4764026442556213,-1.1916737865320666,0.3392976258226524,1.0940000000000012,0.0128833333333333,-0.1055223058993915,-1.3526618989805277,0.200259672397837,0.605000000000004,0.0096333333333332,-0.1014361794843102,-1.2880075974278886,0.1926808847118292,0.0110166666666665,-0.2534543639392815,-1.0565309740099484,0.5730333333333333,0.032612863855983,0.518,0.649,0.566,-0.0007499999999999,0.6643085184801244,-0.1466133468096244,0.0,80.848,0.2363011561310881,-0.0146999999999999,0.9536252547673502,0.756733523834543,0.0125465688093952,0.0570000000000001,-0.0005,0.0513715599471178,-0.024812317203569,3,100,0,130,1,0,3,0,3,1
8,159.61445166666644,14.386304973805094,144.41,191.17,8.333333333335228e-06,0.4808257463513925,0.0,159.09,128.72,1.8748941666666623,0.9174831916531138,0.0,10.398,-1.166666666666664e-05,8.625298609653463,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0264646902993194,0.1349999999999998,-8.000000000000006e-06,-0.029679108858683,-0.7198834341474396,0.0273104030845185,0.1320000000000014,-5.500000000000208e-06,-0.0555457399802099,-0.698073353814161,2489.421533333364,628.0,3.0022095722909783,0.0,19.333,-0.0021616666666666,1.7342567765533152,0.0188050843449909,0.1070000000000011,-5.666666666666783e-05,0.0417401021763071,-0.3110489907622158,0.4785368626228167,1.507000000000005,0.0114499999999999,-0.6081669224497016,-1.0175220647794596,0.3208012035859935,0.9299999999999996,0.0108666666666666,-0.0639277411245586,-1.4917033756708598,0.1579549610560627,0.6019999999999968,0.0098333333333333,0.3716796347312885,-0.6751191242433245,0.1699660717777389,0.0095,-0.13568755189334,-1.1914267094407829,0.5720000000000002,0.0376315470494282,0.525,0.669,0.562,-0.0005833333333333,1.2095391615331486,0.5708063681850666,0.0,81.01,0.3327940487582205,-0.0068,-0.359160003263966,-0.5615517181247074,0.018383235116087,0.072,4.999999999999819e-05,-0.7093971590656698,-0.0429549728992375,3,100,0,130,1,0,3,0,3,1
9,159.47574499999968,14.429087721623524,144.12,191.14,-2.8333333333331248e-05,0.486698496341412,0.0,167.22,128.77,1.8581203333333367,0.9142777168453132,0.0,10.789,1.8333333333333316e-05,9.48894763082731,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0237560414485567,0.1209999999999986,-4.833333333333319e-06,0.0126384600197168,-0.7610726804813166,0.0245298260621411,0.1189999999999997,-4.3333333333333e-06,0.0482878081887617,-0.8014782685398196,2484.4190666666937,629.5999999999999,3.011321005306014,0.0,19.577,-0.0023783333333333,1.7482589933186503,0.0192910834325083,0.1070000000000011,-6.000000000000227e-05,0.3668610550454085,-0.0243791143398452,0.4517018002940538,1.4329999999999998,0.0110833333333334,-0.6153389426571009,-1.0394565619918843,0.3104321915580851,0.9340000000000046,0.0108,0.0044467731298075,-1.5137857666260883,0.1760250574018748,0.5820000000000007,0.0097,-0.4671726055793509,-0.7955319678844721,0.1772059504895047,0.0094333333333333,-0.1401945200390574,-1.161539534784959,0.5670666666666666,0.0322892482965391,0.516,0.65,0.559,-0.0006166666666666,0.8847193662982106,0.1618015627854334,0.0,81.186,0.3557913464689975,-0.0021666666666666,0.337501326306564,-0.4895667968149149,0.0226636946580992,0.0949999999999999,0.0003333333333333,0.8018411133361195,-0.1167525912246461,3,100,0,130,1,0,3,0,3,1
10,159.43799666666678,14.41431631469161,144.16,191.16,3.333333333330302e-06,0.494008582605848,0.0,162.14,128.49,1.8410633333333355,0.9114784224849024,0.0,10.758,1.0333333333333306e-05,9.613671590200893,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0239589115170812,0.1210000000000004,-1.5000000000000568e-06,0.0672506403712834,-0.790570375875252,0.0238986879323718,0.1219999999999998,-4.000000000000152e-06,0.134698354258451,-0.7332749571533363,2480.434866666682,631.4000000000001,3.008136214762668,0.0,19.432,-0.0027066666666666,1.706715717138226,0.0156640202552076,0.091000000000001,-7.666666666666563e-05,0.3252967735555552,-0.1007132198441302,0.4528453807745959,1.3710000000000022,0.01055,-0.5697536520384104,-1.0473728752009337,0.3152361174139502,0.972999999999999,0.0104833333333332,-0.1327396513518204,-1.378125680138241,0.1733894909028672,0.6019999999999968,0.0098333333333332,-0.1868268105751625,-0.9612679283885536,0.1650550842395756,0.0082666666666667,0.0433749786212515,-1.1909768978952493,0.5716833333333334,0.0315481070043125,0.516,0.653,0.5665,-0.0006833333333333,0.5719820533050782,-0.0529045327143142,0.0,80.907,0.2418571800785652,0.0001,0.3865514663165513,-0.2863133187776547,0.0150736709382802,0.0549999999999999,0.0004166666666666,0.6017989139501522,-0.5631715572893103,3,100,0,130,1,0,3,0,3,1
